card_identifier,categoryId,chapter,cleanName,directLowPrice,extCardType,extCharacterVersion,extClassification,extCostInk,extDescription,extFlavorText,extInkType,extInkwellIcononCard,extLoreValue,extMoveCost,extNumber,extPromoType,extProperty,extRarity,extStrength,extWillpower,groupId,highPrice,imageCount,imageUrl,lowPrice,marketPrice,midPrice,modifiedOn,name,productId,subTypeName,url
 EN Q2,71,2025,Disney Lorcana Illumineers Quest Palace Heist,,,,,,,,,,,,,,,,,,24257,85.0,1,https://tcgplayer-cdn.tcgplayer.com/product/623065_200w.jpg,59.74,72.48,69.75,2025-03-26T13:51:51.397,Disney Lorcana: Illumineer's Quest: Palace Heist,623065,Normal,https://cpt.tcgcsv.com/kf_6
11/35 EN Q2,71,2025,Iago Crown Seeker,,Character,Crown Seeker,Dreamborn;Ally,6,"<strong>Evasive</strong> <em>(Only characters with Evasive can challenge this character.)</em>
<br><strong>[Gotcha!]</strong> Whenever this character quests, Jafar steals The Reforged Crown.",,,Yes,2,,11/35,,Aladdin,None,3,5,24257,,1,https://tcgplayer-cdn.tcgplayer.com/product/631973_200w.jpg,,,,2025-05-15T12:35:34.36,Iago - Crown Seeker,631973,,https://cpt.tcgcsv.com/tP37
33/35 EN Q2,71,2025,Hall of Illusions Mysterious Chamber,,Location,Mysterious Chamber,,4,<strong>[Wonderstruck]</strong Opposing characters canât quest.,"<em>âIâm sure youâll figure it out in a thousand years or so.â<br>
â Jafar</em>",,Yes,2,,33/35,,Lilo and Stitch,None,,8,24257,,1,https://tcgplayer-cdn.tcgplayer.com/product/631974_200w.jpg,,,,2025-05-15T12:39:48.56,Hall of Illusions - Mysterious Chamber,631974,,https://cpt.tcgcsv.com/vP37
 EN Q2,71,2025,Bolt Superdog,,,,,,,,,,,,,,,,,,24257,,0,https://tcgplayer-cdn.tcgplayer.com/product/634262_200w.jpg,,,,2025-05-28T19:29:38.743,Bolt - Superdog,634262,,https://cpt.tcgcsv.com/gK57
 EN Q2,71,2025,Goofy Groundbreaking Chef 223 204,,,,,,,,,,,,,,,,,,24257,,0,https://tcgplayer-cdn.tcgplayer.com/product/634263_200w.jpg,,,,2025-05-28T19:31:42.977,Goofy - Groundbreaking Chef (223/204),634263,,https://cpt.tcgcsv.com/hK57
 EN Q2,71,2025,Pinocchio Strings Attached 224 204,,,,,,,,,,,,,,,,,,24257,,0,https://tcgplayer-cdn.tcgplayer.com/product/634264_200w.jpg,,,,2025-05-28T19:32:54.017,Pinocchio - Strings Attached (224/204),634264,,https://cpt.tcgcsv.com/jK57
 EN Q2,71,2025,Elsa Ice Maker,,,,,,,,,,,,,,,,,,24257,,0,https://tcgplayer-cdn.tcgplayer.com/product/634265_200w.jpg,,,,2025-05-28T19:33:23.317,Elsa - Ice Maker,634265,,https://cpt.tcgcsv.com/kK57
 EN Q2,71,2025,Ink Moat First Line of Defense,,,,,,,,,,,,,,,,,,24257,,0,https://tcgplayer-cdn.tcgplayer.com/product/634271_200w.jpg,,,,2025-05-28T19:53:08.853,Ink Moat - First Line of Defense,634271,,https://cpt.tcgcsv.com/rK57
 EN Q2,71,2025,Metal Scorpion Deadly Statue,,,,,,,,,,,,,,,,,,24257,,0,https://tcgplayer-cdn.tcgplayer.com/product/634273_200w.jpg,,,,2025-05-28T19:56:52.72,Metal Scorpion - Deadly Statue,634273,,https://cpt.tcgcsv.com/tK57
 EN Q2,71,2025,Palace Guard Crown Hunter,,,,,,,,,,,,,,,,,,24257,,0,https://tcgplayer-cdn.tcgplayer.com/product/634279_200w.jpg,,,,2025-05-28T19:59:37.703,Palace Guard - Crown Hunter,634279,,https://cpt.tcgcsv.com/CK57
 EN 8,71,2025,Disney Lorcana Reign of Jafar Starter Deck Amber and Amethyst,,,,,,,,,,,,,,,,,,24258,23.99,1,https://tcgplayer-cdn.tcgplayer.com/product/623058_200w.jpg,16.99,19.58,19.14,2025-03-11T18:45:39.603,Disney Lorcana: Reign of Jafar Starter Deck (Amber & Amethyst),623058,Normal,https://cpt.tcgcsv.com/bf_6
 EN 8,71,2025,Disney Lorcana Reign of Jafar Starter Deck Ruby and Steel,,,,,,,,,,,,,,,,,,24258,23.99,1,https://tcgplayer-cdn.tcgplayer.com/product/623059_200w.jpg,16.99,20.56,20.32,2025-03-11T18:46:05.923,Disney Lorcana: Reign of Jafar Starter Deck (Ruby & Steel),623059,Normal,https://cpt.tcgcsv.com/cf_6
 EN 8,71,2025,Disney Lorcana Reign of Jafar Starter Deck Display,,,,,,,,,,,,,,,,,,24258,114.9,1,https://tcgplayer-cdn.tcgplayer.com/product/623060_200w.jpg,99.91,109.91,114.9,2025-03-26T13:52:39.247,Disney Lorcana: Reign of Jafar Starter Deck Display,623060,Normal,https://cpt.tcgcsv.com/df_6
 EN 8,71,2025,Disney Lorcana Reign of Jafar Illumineers Trove,,,,,,,,,,,,,,,,,,24258,71.99,1,https://tcgplayer-cdn.tcgplayer.com/product/623061_200w.jpg,49.99,55.94,59.92,2025-03-26T13:51:28,Disney Lorcana: Reign of Jafar Illumineer's Trove,623061,Normal,https://cpt.tcgcsv.com/ff_6
 EN 8,71,2025,Disney Lorcana Reign of Jafar Sleeved Booster Pack,,,,,,,,,,,,,,,,,,24258,,1,https://tcgplayer-cdn.tcgplayer.com/product/623062_200w.jpg,,,,2025-03-11T18:55:07.043,Disney Lorcana: Reign of Jafar Sleeved Booster Pack,623062,,https://cpt.tcgcsv.com/gf_6
 EN 8,71,2025,Disney Lorcana Reign of Jafar Booster Pack,,,,,,,,,,,,,,,,,,24258,9.98,1,https://tcgplayer-cdn.tcgplayer.com/product/623063_200w.jpg,5.99,6.34,6.75,2025-03-11T18:56:25.363,Disney Lorcana: Reign of Jafar Booster Pack,623063,Normal,https://cpt.tcgcsv.com/hf_6
 EN 8,71,2025,Disney Lorcana Reign of Jafar Booster Box,,,,,,,,,,,,,,,,,,24258,168.0,1,https://tcgplayer-cdn.tcgplayer.com/product/623064_200w.jpg,114.99,117.87,121.98,2025-05-16T18:35:29.323,Disney Lorcana: Reign of Jafar Booster Box,623064,Normal,https://cpt.tcgcsv.com/jf_6
 EN 8,71,2025,Disney Lorcana Reign of Jafar Booster Box Case,,,,,,,,,,,,,,,,,,24258,699.99,1,https://tcgplayer-cdn.tcgplayer.com/product/623067_200w.jpg,470.95,486.37,487.94,2025-03-26T15:41:09.97,Disney Lorcana: Reign of Jafar Booster Box Case,623067,Normal,https://cpt.tcgcsv.com/mf_6
 EN 8,71,2025,Disney Lorcana Reign of Jafar Starter Deck Set of 2,,,,,,,,,,,,,,,,,,24258,34.95,1,https://tcgplayer-cdn.tcgplayer.com/product/630012_200w.jpg,29.99,31.39,32.96,2025-05-02T20:25:56.617,Disney Lorcana: Reign of Jafar Starter Deck [Set of 2],630012,Normal,https://cpt.tcgcsv.com/g037
48/204 EN 8,71,2025,Hades Ruthless Tyrant,,Character,Ruthless Tyrant,Dreamborn;Villain;Deity,7,"<strong>[Short on Patience]</strong> When you play this character and whenever he quests, you may deal 2 damage to another chosen character of yours to draw 2 cards.","<em>Don't forgetâI'm the guy with the leverage here.""</em>",Amethyst;Ruby,No,2,,48/204,,Hercules,Super Rare,3,6,24258,9.6,1,https://tcgplayer-cdn.tcgplayer.com/product/630060_200w.jpg,4.8,3.0,5.82,2025-05-23T20:11:58.813,Hades - Ruthless Tyrant,630060,Normal,https://cpt.tcgcsv.com/d237
48/204 EN 8,71,2025,Hades Ruthless Tyrant,,Character,Ruthless Tyrant,Dreamborn;Villain;Deity,7,"<strong>[Short on Patience]</strong> When you play this character and whenever he quests, you may deal 2 damage to another chosen character of yours to draw 2 cards.","<em>Don't forgetâI'm the guy with the leverage here.""</em>",Amethyst;Ruby,No,2,,48/204,,Hercules,Super Rare,3,6,24258,24.5,1,https://tcgplayer-cdn.tcgplayer.com/product/630060_200w.jpg,12.25,15.0,13.67,2025-05-23T20:11:58.813,Hades - Ruthless Tyrant,630060,Cold Foil,https://cpt.tcgcsv.com/d237
27/204 EN 8,71,2025,Perdita Determined Mother,,Character,Determined Mother,Floodborn;Hero,6,"<strong>Shift 4</strong><em>(You may pay 4 Ink to play this on top of one of your characters named Perdita.)</em>
<br><strong>[Quick, Everyone Hide]</strong> When you play this character, you may put all Puppy character cards from your discard into your inkwell facedown and exerted.",,Amber;Sapphire,Yes,2,,27/204,,101 Dalmatians,Super Rare,4,6,24258,29.8,1,https://tcgplayer-cdn.tcgplayer.com/product/630061_200w.jpg,14.77,,14.79,2025-05-23T19:54:48.567,Perdita - Determined Mother,630061,Cold Foil,https://cpt.tcgcsv.com/f237
27/204 EN 8,71,2025,Perdita Determined Mother,,Character,Determined Mother,Floodborn;Hero,6,"<strong>Shift 4</strong><em>(You may pay 4 Ink to play this on top of one of your characters named Perdita.)</em>
<br><strong>[Quick, Everyone Hide]</strong> When you play this character, you may put all Puppy character cards from your discard into your inkwell facedown and exerted.",,Amber;Sapphire,Yes,2,,27/204,,101 Dalmatians,Super Rare,4,6,24258,9.34,1,https://tcgplayer-cdn.tcgplayer.com/product/630061_200w.jpg,3.57,7.25,3.8,2025-05-23T19:54:48.567,Perdita - Determined Mother,630061,Normal,https://cpt.tcgcsv.com/f237
